"KEGG Organisms: Complete Genomes"
"Eukaryotes: 542   Bacteria: 6047   Archaea: 338"
"suh    Staphylococcus argenteus                                       2012 GenBank"
"ser    Staphylococcus epidermidis RP62A (MRSE)                        2005 GenBank"
"sep    Staphylococcus epidermidis ATCC 12228                          2003 RefSeq"
"sepp Staphylococcus epidermidis PM221                                 2014 GenBank"
"seps Staphylococcus epidermidis SEI                                   2014 GenBank"
"sha    Staphylococcus haemolyticus JCSC1435                           2005 GenBank"
"shh    Staphylococcus haemolyticus Sh29/312/L2                        2015 GenBank"
"ssp    Staphylococcus saprophyticus                                   2005 GenBank"
"sca    Staphylococcus carnosus subsp. carnosus                        2009 GenBank"
"slg   Staphylococcus lugdunensis HKU09-01                            2010 GenBank"
"sln   Staphylococcus lugdunensis N920143                             2012 GenBank"
"ssd    Staphylococcus pseudintermedius HKU10-03                       2011 GenBank"
"sdt   Staphylococcus pseudintermedius ED99                           2012 GenBank"
"swa    Staphylococcus warneri                                         2013 GenBank"
"spas Staphylococcus pasteuri                                          2013 GenBank"
"sxy    Staphylococcus xylosus HKUOPL8                                 2014 GenBank"
"sxl   Staphylococcus xylosus SMQ-121                                 2014 GenBank"
"               sxo    Staphylococcus xylosus C2a                        2015 GenBank"
"shu    Staphylococcus hyicus                             2015 GenBank"
"scap Staphylococcus capitis subsp. capitis               2015 GenBank"
""
"ssch Staphylococcus schleiferi 1360-13                   2015 GenBank"
"sscz   Staphylococcus schleiferi 2317-03                 2016 GenBank"
"sagq Staphylococcus agnetis                              2016 GenBank"
"seqo Staphylococcus equorum                              2016 GenBank"
"ssif   Staphylococcus simulans                           2016 GenBank"
"scv    Staphylococcus condimenti                         2017 GenBank"
"spet   Staphylococcus pettenkoferi                       2017 GenBank"
"slz   Staphylococcus lutrae                             2017 GenBank"
"scoh Staphylococcus cohnii                               2017 GenBank"
"sscu Staphylococcus sciuri                               2017 GenBank"
"snl   Staphylococcus nepalensis                         2018 GenBank"
"skl   Staphylococcus kloosii                            2018 GenBank"
"sfq   Staphylococcus felis                              2018 GenBank"
"shom Staphylococcus hominis                              2019 GenBank"
"smus Staphylococcus muscae                               2019 GenBank"
"scar   Staphylococcus caprae                             2019 GenBank"
"sff   Staphylococcus fleurettii                         2020 GenBank"
"sdp    Staphylococcus delphini                           2020 GenBank"
"schr   Staphylococcus chromogenes                        2020 GenBank"
"sarl   Staphylococcus arlettae                           2020 GenBank"
"spic   Staphylococcus piscifermentans                    2020 GenBank"
"ssh    Staphylococcus schweitzeri                        2020 GenBank"
"ssim Staphylococcus simiae                               2020 GenBank"
"mcl    Macrococcus caseolyticus                          2009 GenBank"
"Macrococcus    mcak Macrococcus canis                                   2017 GenBank"
"macr Macrococcus sp. IME1552                             2017 GenBank"
"Salinicoccus   shv    Salinicoccus halodurans                           2015 GenBank"
"Auricoccucs    sbac Auricoccus indicus                                  2017 GenBank"
"lmo    Listeria monocytogenes EGD-e (serotype 1/2a)      2001 RefSeq"
"lmn    Listeria monocytogenes 08-5578 (serotype 1/2a)    2010 GenBank"
"lmy    Listeria monocytogenes 08-5923 (serotype 1/2a)    2010 GenBank"
"lmt   Listeria monocytogenes 10403S (serotype 1/2a)     2012 GenBank"
"lmoc Listeria monocytogenes SLCC5850 (serotype 1/2a)     2012 GenBank"
"lmoe Listeria monocytogenes La111 (serotype 1/2a)        2013 GenBank"
"lmob Listeria monocytogenes N53-1 (serotype 1/2a)        2013 GenBank"
"lmod Listeria monocytogenes EGD (serotype 1/2a)          2013 GenBank"
"lmow Listeria monocytogenes WSLC1001 (serotype 1/2a)     2014 GenBank"
"lmoq Listeria monocytogenes 6179 (serotype 1/2a)         2014 GenBank"
"lmr   Listeria monocytogenes R479a (serotype 1/2a)      2014 GenBank"
"lmom Listeria monocytogenes Lm60 (serotype 1/2a)         2014 GenBank"
"lmf   Listeria monocytogenes F2365 (serotype 4b)        2004 GenBank"
"lmc    Listeria monocytogenes CLIP 80459 (serotype 4b)   2009 GenBank"
"lmog Listeria monocytogenes serotype 4b LL195            2013 GenBank"
"lmp    Listeria monocytogenes 07PF0776 (serotype 4b)     2012 GenBank"
"lmol   Listeria monocytogenes L312 (serotype 4b)         2012 GenBank"
"lmoj   Listeria monocytogenes J1816 (serotype 4b)        2013 GenBank"
"lmoz Listeria monocytogenes J1-220 (serotype 4b)         2013 GenBank"
"lmox Listeria monocytogenes WSLC1042 (serotype 4b)       2014 GenBank"
"lmh    Listeria monocytogenes HCC23 (serotype 4a)        2008 GenBank"
"lmq    Listeria monocytogenes M7 (serotype 4a)           2012 GenBank"
"lml                                                     2012 GenBank"
"Listeria monocytogenes L99 (serotype 4a)"
"Listeria       lmg    Listeria monocytogenes FSL R2-561                 2012 GenBank"
"lms    Listeria monocytogenes Finland 1998               2012 GenBank"
"lmj   Listeria monocytogenes J0161                      2012 GenBank"
"lmw    Listeria monocytogenes SLCC2755 (serotype 1/2b)   2012 GenBank"
"lmx    Listeria monocytogenes SLCC2372 (serotype 1/2c)   2012 GenBank"
"lmz    Listeria monocytogenes serotype 7 SLCC2482        2012 GenBank"
"lmon Listeria monocytogenes SLCC2376 (serotype 4c)       2012 GenBank"
"lmos Listeria monocytogenes SLCC7179 (serotype 3a)       2012 GenBank"
"lmoo Listeria monocytogenes SLCC2378 (serotype 4e)       2012 GenBank"
"lmoy Listeria monocytogenes SLCC2479 (serotype 3c)       2012 GenBank"
"lmot   Listeria monocytogenes SLCC2540 (serotype 3b)     2012 GenBank"
"lmoa Listeria monocytogenes ATCC 19117 (serotype 4d)     2012 GenBank"
"lmok Listeria monocytogenes NE dc2014                    2014 GenBank"
"lmv    Listeria monocytogenes CFSAN006122                2014 GenBank"
"lin   Listeria innocua (serotype 6a)                    2001 GenBank"
"                  lwe    Listeria welshimeri                                2006 GenBank"
"lsg   Listeria seeligeri                                 2010 GenBank"
"liv   Listeria ivanovii subsp. ivanovii PAM 55           2011 GenBank"
"lii   Listeria ivanovii subsp. ivanovii WSLC 3010        2014 GenBank"
"liw   Listeria ivanovii WSLC3009                         2014 GenBank"
"lia   Listeria ivanovii subsp. londoniensis WSLC 30167   2014 GenBank"
"lio   Listeria ivanovii subsp. londoniensis WSLC 30151   2014 GenBank"
"lwi   Listeria weihenstephanensis                        2018 GenBank"
"lgz   Listeria grayi                                     2019 GenBank"
"Brochothrix       bths   Brochothrix thermosphacta                          2017 GenBank"
"esi   Exiguobacterium sibiricum                          2008 GenBank"
"eat    Exiguobacterium sp. AT1b                           2009 GenBank"
"Exiguobacterium   ean    Exiguobacterium antarcticum                        2012 GenBank"
"exm    Exiguobacterium sp. MH3                            2013 GenBank"
"exu    Exiguobacterium sp. U13-1                          2016 GenBank"
"got    Gemella sp. oral taxon 928                         2016 GenBank"
"gmo    Gemella morbillorum                                2018 GenBank"
"Gemella           geq    Gemella sp. ND 6198                                2018 GenBank"
"gsa    Gemella sanguinis                                  2019 GenBank"
"gha    Gemella haemolysans                                2020 GenBank"
"bbe    Brevibacillus brevis                               2009 GenBank"
"blr   Brevibacillus laterosporus                         2015 GenBank"
"Brevibacillus     bfm    Brevibacillus formosus                             2017 GenBank"
"bagr   Brevibacillus agri                                 2019 GenBank"
"brw    Brevibacillus sp. 7WMA2                            2020 GenBank"
"pjd   Paenibacillus sp. JDR-2                            2009 GenBank"
"gym    Paenibacillus sp. Y412MC10                         2009 GenBank"
"ppy    Paenibacillus polymyxa E681                        2010 GenBank"
"ppm    Paenibacillus polymyxa SC2                         2010 GenBank"
"ppo    Paenibacillus polymyxa M1                          2012 GenBank"
"ppol   Paenibacillus polymyxa CR1                         2013 GenBank"
"ppq    Paenibacillus polymyxa SQR-21                      2014 GenBank"
"ppoy Paenibacillus polymyxa Sb3-1                         2015 GenBank"
"pms    Paenibacillus mucilaginosus KNP414                 2011 GenBank"
"pmq    Paenibacillus mucilaginosus 3016                   2012 GenBank"
"pmw Paenibacillus mucilaginosus K02                       2012 GenBank"
"pta    Paenibacillus terrae                               2012 GenBank"
"plv   Paenibacillus larvae                               2013 GenBank"
"psab Paenibacillus sabinae                                2014 GenBank"
"pdu    Paenibacillus durus                                2014 GenBank"
"pbd    Paenibacillus borealis                             2014 GenBank"
"pgm    Paenibacillus graminis                             2014 GenBank"
"pod    Paenibacillus odorifer                             2014 GenBank"
"paen Paenibacillus sp. FSL P4-0081                        2014 GenBank"
"paef   Paenibacillus sp. FSL R5-0345                      2014 GenBank"
"paeq Paenibacillus sp. FSL R5-0912                        2014 GenBank"
"pste   Paenibacillus stellifer                            2014 GenBank"
"paea Paenibacillus sp. FSL R7-0273                        2014 GenBank"
"paee Paenibacillus sp. FSL R7-0331                        2014 GenBank"
"paeh Paenibacillus sp. FSL H7-0357                        2014 GenBank"
"paej   Paenibacillus sp. FSL H7-0737                      2014 GenBank"
"Paenibacillus"
"pbj   Paenibacillus beijingensis                         2015 GenBank"
"pih   Paenibacillus sp. IHBB 10380                       2015 GenBank"
"pri   Paenibacillus riograndensis                        2015 GenBank"
"ppeo Paenibacillus peoriae                                2015 GenBank"
"pnp    Paenibacillus naphthalenovorans                    2016 GenBank"
"pow    Paenibacillus sp. 32O-W                            2016 GenBank"
"pbv    Paenibacillus bovis                                2016 GenBank"
"pxl   Paenibacillus xylanexedens                         2017 GenBank"
"pyg    Paenibacillus yonginensis                          2017 GenBank"
"pswu Paenibacillus swuensis                               2017 GenBank"
"pdh    Paenibacillus donghaensis                          2017 GenBank"
"pib   Paenibacillus ihbetae                              2017 GenBank"
"pcx    Paenibacillus crassostreae                         2017 GenBank"
"pkb    Paenibacillus kribbensis                           2018 GenBank"
"paih   Paenibacillus sp. IHB B 3084                       2018 GenBank"
"pvo    Paenibacillus vortex                               2018 GenBank"
"plw    Paenibacillus lautus                               2018 GenBank"
